gene,padj
ENSMUSG00000058152.7,3.2201969138022794e-150
ENSMUSG00000021391.9,3.320412677205471e-149
ENSMUSG00000049744.15,8.862276401853608e-146
ENSMUSG00000036103.8,3.430184240264034e-145
ENSMUSG00000003992.14,3.868002906180505e-145
ENSMUSG00000042348.9,1.4674160897447174e-144
ENSMUSG00000041836.10,1.2126099759559245e-143
ENSMUSG00000031214.13,5.281256530271183e-143
ENSMUSG00000030067.17,7.054196601263172e-143
ENSMUSG00000022309.8,1.0020661048350363e-142
ENSMUSG00000026425.15,3.394574522061343e-142
ENSMUSG00000029866.13,1.7401599823401044e-141
ENSMUSG00000028033.16,2.5908551014849337e-141
ENSMUSG00000036103.8,5.42032081854363e-141
ENSMUSG00000030257.16,3.675004192052815e-139
ENSMUSG00000027035.10,9.576438265539525e-139
ENSMUSG00000022952.16,1.489025827253084e-138
ENSMUSG00000024867.14,5.406146219947593e-138
ENSMUSG00000035472.13,3.629216724268766e-137
ENSMUSG00000042744.16,1.0574550404754091e-136
ENSMUSG00000031214.13,1.4694442422798034e-136
ENSMUSG00000064210.6,3.601331376361128e-136
ENSMUSG00000037922.13,1.5735043619936983e-135
ENSMUSG00000037926.15,1.1223743476363724e-133
ENSMUSG00000024985.18,1.354594396239775e-133
ENSMUSG00000031543.18,1.9725170650740314e-133
ENSMUSG00000061436.15,1.0879498629870184e-132
ENSMUSG00000053580.16,2.8092538165381273e-132
ENSMUSG00000022150.16,3.8186539906577094e-131
ENSMUSG00000021596.16,3.9855993371942316e-131
ENSMUSG00000037922.13,8.699611738104317e-131
ENSMUSG00000026425.15,2.124591202591675e-130
ENSMUSG00000020160.18,4.407181887822895e-130
ENSMUSG00000030257.16,4.418120472946016e-130
ENSMUSG00000028906.16,7.331875153016262e-130
ENSMUSG00000007613.15,1.3982794565274097e-126
ENSMUSG00000020189.13,2.989968385343317e-126
ENSMUSG00000041272.11,3.226996402378731e-126
ENSMUSG00000052305.6,2.41861870896027e-125
ENSMUSG00000039031.15,1.1253464776436816e-124
ENSMUSG00000052889.11,3.546130110604331e-124
ENSMUSG00000061731.9,5.891978229861724e-124
ENSMUSG00000025997.13,6.890140881722375e-124
ENSMUSG00000031075.18,1.7942499408694223e-123
ENSMUSG00000002997.15,2.981457636307973e-122
ENSMUSG00000032216.14,9.182024532511224e-122
ENSMUSG00000001348.15,2.6431022032864183e-121
ENSMUSG00000022309.8,6.266337962407992e-121
ENSMUSG00000030557.17,1.264087974402625e-120
ENSMUSG00000052889.11,2.3203762919891786e-120
ENSMUSG00000041272.11,2.900486178366502e-120
ENSMUSG00000018654.17,3.7272821437197906e-120
ENSMUSG00000028033.16,6.106832571240051e-120
ENSMUSG00000069919.7,7.75094745694943e-120
ENSMUSG00000006678.6,1.3703918754153747e-118
ENSMUSG00000038664.16,5.327187265432109e-118
ENSMUSG00000044258.9,5.668698562524504e-118
ENSMUSG00000020029.5,6.259660449673642e-118
ENSMUSG00000044258.9,1.3995597819327657e-117
ENSMUSG00000017631.18,8.029222796351895e-117
ENSMUSG00000021596.16,2.396605851914367e-116
ENSMUSG00000042286.13,2.5082454036674487e-116
ENSMUSG00000069917.7,3.338386886730572e-115
ENSMUSG00000039031.15,1.2475459078695938e-114
ENSMUSG00000017631.18,6.421045522798954e-114
ENSMUSG00000030557.17,3.164080030882983e-113
ENSMUSG00000039585.15,3.950519302313487e-113
ENSMUSG00000048264.15,2.4348635584588496e-111
ENSMUSG00000022105.6,3.559474987964497e-111
ENSMUSG00000004637.15,8.410786418250407e-111
ENSMUSG00000020961.14,9.345636135566994e-111
ENSMUSG00000026579.8,1.26285177006284e-110
ENSMUSG00000041997.16,2.8499788323915016e-110
ENSMUSG00000036006.19,4.212710511898379e-110
ENSMUSG00000026579.8,6.112909200984953e-110
ENSMUSG00000024236.18,1.491459441450419e-109
ENSMUSG00000025997.13,4.004247395750549e-109
ENSMUSG00000056758.14,6.912448273246563e-108
ENSMUSG00000049775.16,1.4478053609462998e-107
ENSMUSG00000021065.15,5.295461411577678e-107
ENSMUSG00000042225.3,8.27771640335231e-107
ENSMUSG00000046876.15,1.1132307375530235e-106
ENSMUSG00000096768.7,3.304819563776746e-106
ENSMUSG00000022309.8,2.2812416622337e-105
ENSMUSG00000030257.16,5.205792028223371e-105
ENSMUSG00000038718.15,9.617421788409264e-105
ENSMUSG00000045095.16,1.721904332127327e-104
ENSMUSG00000022797.15,2.3937769360999092e-104
ENSMUSG00000032228.16,4.4806038858846624e-104
ENSMUSG00000027111.15,8.776223462948525e-104
ENSMUSG00000047888.9,2.9737020615096146e-103
ENSMUSG00000021709.14,3.0648368678613106e-103
ENSMUSG00000021939.7,4.1732897314045553e-103
ENSMUSG00000030671.9,5.302789626416411e-103
ENSMUSG00000019820.9,6.49747613599778e-103
ENSMUSG00000056758.14,1.4543858595541258e-101
ENSMUSG00000052085.6,6.98363647771814e-101
ENSMUSG00000044258.9,1.6498060307626666e-100
ENSMUSG00000060579.12,1.6989926901421313e-99
ENSMUSG00000051910.13,1.9647751284418505e-99
ENSMUSG00000027111.15,6.579286918506071e-99
ENSMUSG00000018654.17,1.0648436143465006e-98
ENSMUSG00000029108.14,1.7455351832270915e-98
ENSMUSG00000034248.7,2.8580313708301942e-98
ENSMUSG00000041058.15,3.040583839419676e-98
ENSMUSG00000038608.15,4.416302044837529e-98
ENSMUSG00000020023.17,5.2285643155082845e-98
ENSMUSG00000029635.15,7.872330066164909e-97
ENSMUSG00000028649.17,2.7609254533970183e-96
ENSMUSG00000047888.9,3.64237587352764e-96
ENSMUSG00000105361.1,1.4478996999474832e-95
ENSMUSG00000020023.17,1.9432737140168622e-95
ENSMUSG00000063458.12,2.397335573862016e-95
ENSMUSG00000026579.8,3.092231449111905e-95
ENSMUSG00000007613.15,4.215773935341639e-95
ENSMUSG00000105361.1,4.366236777413518e-95
ENSMUSG00000042082.6,4.6377858735115e-95
